"","lon","lat"
"211",-77.3663538,35.612661
"212",-106.346771,56.130366
"213",NA,NA
"214",5.7760724,6.8527441
"215",NA,NA
"216",NA,NA
"217",-122.6764816,45.5230622
"218",NA,NA
"219",NA,NA
"220",NA,NA
"221",-71.0994968,42.3875968
"222",-79.3831843,43.653226
"223",-121.9877444,38.3565773
"224",-95.712891,37.09024
"225",NA,NA
"226",-78.8773898,42.8760887
"227",-75.977985,36.8529263
"228",NA,NA
"229",-95.712891,37.09024
"230",-82.907123,40.4172871
"231",NA,NA
"232",NA,NA
"233",-81.9817726,35.046508
"234",-122.2653887,38.5024689
"235",NA,NA
"236",-95.712891,37.09024
"237",-89.5889864,40.6936488
"238",NA,NA
"239",-81.5157535,27.6648274
"240",-122.4194155,37.7749295
"241",-77.0368707,38.9071923
"242",NA,NA
"243",NA,NA
"244",NA,NA
"245",-77.0368707,38.9071923
"246",-91.1403196,30.4582829
"247",-83.1763145,42.3222599
"248",NA,NA
"249",NA,NA
"250",NA,NA
"251",-74.0059413,40.7127837
"252",NA,NA
"253",-121.9552356,37.3541079
"254",NA,NA
"255",-73.5358541,42.5366348
"256",-1.1581086,52.9547832
"257",-112.0740373,33.4483771
"258",-119.6981901,34.4208305
"259",NA,NA
"260",NA,NA
"261",NA,NA
"262",NA,NA
"263",-118.2436849,34.0522342
"264",NA,NA
"265",-71.0588801,42.3600825
"266",NA,NA
"267",NA,NA
"268",-78.6568942,37.4315734
"269",NA,NA
"270",-96.7969879,32.7766642
"271",-118.3286614,34.0928092
"272",-83.1140771,40.0992294
"273",NA,NA
"274",-97.330053,37.6871761
"275",NA,NA
"276",NA,NA
"277",-3.435973,55.378051
"278",NA,NA
"279",-80.8431267,35.2270869
"280",NA,NA
"281",NA,NA
"282",NA,NA
"283",-95.712891,37.09024
"284",-117.1610838,32.715738
"285",NA,NA
"286",NA,NA
"287",-75.9268747,40.3356483
"288",NA,NA
"289",-76.6121893,39.2903848
"290",-92.1476353,32.5184775
"291",-95.712891,37.09024
"292",NA,NA
"293",NA,NA
"294",-89.3985283,40.6331249
"295",NA,NA
"296",NA,NA
"297",-77.1945247,41.2033216
"298",-73.7620359,41.1482947
"299",-74.4056612,40.0583238
"300",NA,NA
"301",NA,NA
"302",-95.712891,37.09024
"303",-122.0838511,37.3860517
"304",-74.15703,4.44646
"305",91.117525,29.647535
"306",NA,NA
"307",NA,NA
"308",-74.0059413,40.7127837
"309",-94.5785667,39.0997265
"310",NA,NA
"311",NA,NA
"312",-157.860709,21.306117
"313",-119.4179324,36.778261
"314",NA,NA
"315",-94.1265562,30.080174
"316",NA,NA
"317",NA,NA
"318",NA,NA
"319",NA,NA
"320",-0.1277583,51.5073509
"321",NA,NA
"322",-87.7878408,42.0697509
"323",NA,NA
"324",-81.5157535,27.6648274
"325",-73.134961,40.789142
"326",NA,NA
"327",-106.6055534,35.0853336
"328",NA,NA
"329",-95.712891,37.09024
"330",-73.9441579,40.6781784
"331",-74.0059413,40.7127837
"332",-119.4179324,36.778261
"333",NA,NA
"334",-111.8910474,40.7607793
"335",NA,NA
"336",-82.903754,32.5404447
"337",NA,NA
"338",-95.712891,37.09024
"339",-86.902298,32.3182314
"340",-120.5542012,43.8041334
"341",NA,NA
"342",NA,NA
"343",NA,NA
"344",-95.712891,37.09024
"345",NA,NA
"346",-77.1772604,38.9338676
"347",NA,NA
"348",NA,NA
"349",NA,NA
"350",-99.9018131,31.9685988
"351",-95.712891,37.09024
"352",-74.0059413,40.7127837
"353",NA,NA
"354",-101.8551665,33.5778631
"355",NA,NA
"356",NA,NA
"357",NA,NA
"358",NA,NA
"359",NA,NA
"360",-95.712891,37.09024
"361",NA,NA
"362",NA,NA
"363",NA,NA
"364",NA,NA
"365",NA,NA
"366",-74.0059413,40.7127837
"367",NA,NA
"368",NA,NA
"369",46.6752957,24.7135517
"370",-79.5131983,43.6204946
"371",-81.3792365,28.5383355
"372",-89.4012302,43.0730517
"373",-117.3961564,33.9533487
"374",-76.6246886,39.1626084
"375",-90.1994042,38.6270025
"376",NA,NA
"377",-97.7430608,30.267153
"378",-86.1586156,41.6619927
"379",-84.2940899,34.0753762
"380",NA,NA
"381",NA,NA
"382",NA,NA
"383",-73.742898,42.6425794
"384",-95.712891,37.09024
"385",-80.1300455,25.790654
"386",NA,NA
"387",-86.902298,32.3182314
"388",-74.116677,11.142812
"389",NA,NA
"390",-74.1979458,39.9537358
"391",-73.7985008,42.5319998
"392",-77.0368707,38.9071923
"393",-77.0368707,38.9071923
"394",NA,NA
"395",-95.712891,37.09024
"396",NA,NA
"397",-74.4056612,40.0583238
"398",-86.7816016,36.1626638
"399",-3.188267,55.953252
"400",NA,NA
"401",NA,NA
"402",NA,NA
"403",NA,NA
"404",-95.3698028,29.7604267
"405",-121.7327931,36.4799024
"406",-82.5436722,27.763383
"407",NA,NA
"408",-83.9207392,35.9606384
"409",-95.712891,37.09024
"410",-80.0942087,26.9342246
"411",-95.712891,37.09024
"412",NA,NA
"413",NA,NA
"414",NA,NA
"415",NA,NA
"416",NA,NA
"417",-79.0192997,35.7595731
"418",-81.5157535,27.6648274
"419",-106.2800242,43.4113604
"420",NA,NA
"421",NA,NA
"422",-117.7831104,33.5422475
"423",-89.3985283,40.6331249
"424",-82.9987942,39.9611755
"425",-73.9441579,40.6781784
"426",NA,NA
"427",NA,NA
"428",NA,NA
"429",NA,NA
"430",-77.0368707,38.9071923
"431",-73.9441579,40.6781784
"432",NA,NA
"433",-81.5157535,27.6648274
"434",NA,NA
"435",-95.992775,36.1539816
"436",-74.0059413,40.7127837
"437",NA,NA
"438",NA,NA
"439",-75.1652215,39.9525839
"440",-77.1945247,41.2033216
"441",NA,NA
"442",NA,NA
"443",NA,NA
"444",-74.0059413,40.7127837
"445",-78.4766781,38.0293059
"446",NA,NA
"447",-95.712891,37.09024
