"","screenName","text","retweetCount","score","absolute_score","lon","lat"
"34","agraddi","RT @utahjonny: Trump cheated American Democracy.  His election is a fraud.  #Russia @realDonaldTrump #hacking #MakeAmericaGreatAgain",1,-1,1,-80.8431267,35.2270869
"35","ahankins321","@realDonaldTrump Scored one of these today! #MakeAmericaGreatAgain #draintheswamp #GoTrump #Trumpismypresident https://t.co/a8m8gOIXFE",1,0,0,-86.308356,42.1861494
"36","AHH_biz","A Special Kind of Stupid! #MAGA #Trump #TrumpPence16 #TrumpTreason #TrumpLeaks #OrangeHitler #2A #GOP #Republicans‚Ä¶ https://t.co/tnwvPtgSxW",0,0,0,-95.3698028,29.7604267
"37","AIVMI","RT @marilynkj: I'm an unhypenated #American  1/4 Eng Thomas Paine 1/4 German &amp; 1/2 Swedish #Lutheran #tcot #MakeAmericaGreatAgain http://t.‚Ä¶",593,0,0,-80.1494901,26.0112014
"38","AJAR0410","Love hearing a prayer before the army v navy game #GodBlessAmerica #MakeAmericaGreatAgain #ArmyNavyGameDay",0,1,1,-79.9958864,40.4406248
"39","AlanmBeat","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",613,0,0,-95.712891,37.09024
"40","AlbertoPimienta","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",612,0,0,-77.0368707,38.9071923
"41","alejocorona","RT @PerezHilton: As if you needed more proof that #DonaldTrump is not really trying to #MakeAmericaGreatAgain... https://t.co/qD8Kh3e1vI",14,0,0,-99.9018131,31.9685988
"42","AlessandroTen27","RT @RN_Grips: Who do you want to win #debate2016 #PresidentialElection #USDebate #Trump #Hillary #MakeAmericaGreatAgain",2,2,2,-79.3831843,43.653226
"43","AlexAloha67","@realDonaldTrump #MAGA #MakeAmericaGreatAgain #makechristmasgreatagain #trumpeffect  Merry Christmas President‚Ä¶ https://t.co/ZjPqypfmWs",0,1,1,-123.1207375,49.2827291
"44","AlexAloha67","#MAGA #MakeAmericaGreatAgain #ObamaLegacy #TrojanHorse #Treason #TRUMP Obama will go down as the worst President in‚Ä¶ https://t.co/K3NOP35inb",0,-1,1,-123.1207375,49.2827291
"45","alexjiminian7","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",610,0,0,-95.3698028,29.7604267
"46","aliciamchugh3","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",610,0,0,-83.7430378,42.2808256
"47","Almightyone7","RT @GOP: Working hard for the American people and ready to #MakeAmericaGreatAgain ‚¨áÔ∏è https://t.co/eGQYR5ZQNB",697,0,0,-71.3824374,42.4072107
"48","AlphaRaposa","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",612,0,0,-86.1349019,40.2671941
"49","altum_teresa","RT @yadkinfarm: Fake News??? MSNBC Anchor Falsely Claims Fox Had Party at Trump's D.C. Hotel @mitchellvii #MakeAmericaGreatAgain  https://t‚Ä¶",4,-2,2,-95.712891,37.09024
"50","alva_issa","RT @RobbieRosamelia: .@SebGorka succinctly breaks down the message Trump won on: #MakeAmericaGreatAgain https://t.co/IFB1qVBWbz",11,1,1,-82.9000751,32.1656221
"51","alyssakelly_23","RT @alyssakelly_23: Happy birthday Trump ‚ù§Ô∏èÌ†ºÌ∑∫Ì†ºÌ∑∏‚ù§Ô∏èÌ†ºÌ∑∫Ì†ºÌ∑∏‚ù§Ô∏è #happybirthdaytrump #MakeAmericaGreatAgain https://t.co/ScUL4yS5dV",16,0,0,-81.3961338,30.2841224
"52","AmazingBecks","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",610,0,0,-74.0059413,40.7127837
"53","Amberis4LSU","@mikefperry
#MerryChristmas
Thx 4 the
#FollowÌ†ΩÌ≤Ø
Happy 2
ConnectÌ†ºÌæØ
1/20/2017, We WILL 
#MakeAmericaGreatAgain",0,0,0,-86.902298,32.3182314
"54","Amberis4LSU","@JoannaY782
#MerryChristmas
Thx 4 the
#FollowÌ†ΩÌ≤Ø
Happy 2
ConnectÌ†ºÌæØ
1/20/2017, We WILL 
#MakeAmericaGreatAgain",0,0,0,-86.902298,32.3182314
"55","Amberis4LSU","@seeber_vanita
#MerryChristmas
Thx 4 the
#FollowÌ†ΩÌ≤Ø
Happy 2
ConnectÌ†ºÌæØ
1/20/2017, We WILL 
#MakeAmericaGreatAgain",0,0,0,-86.902298,32.3182314
"56","Amberis4LSU","@VisualPolitic
#MerryChristmas
Thx 4 the
#FollowÌ†ΩÌ≤Ø
Happy 2
ConnectÌ†ºÌæØ
1/20/2017, We WILL 
#MakeAmericaGreatAgain",0,0,0,-86.902298,32.3182314
"57","Amberis4LSU","@BoutiqueAwards
#MerryChristmas
Thx 4 the
#FollowÌ†ΩÌ≤Ø
Happy 2
ConnectÌ†ºÌæØ
1/20/2017, We WILL 
#MakeAmericaGreatAgain",0,0,0,-86.902298,32.3182314
"58","Amberis4LSU","@brown35979101
#MerryChristmas
Thx 4 the
#FollowÌ†ΩÌ≤Ø
Happy 2
ConnectÌ†ºÌæØ
1/20/2017, We WILL 
#MakeAmericaGreatAgain",0,0,0,-86.902298,32.3182314
"59","American525","RT @Reince: Strong, qualified cabinet coming together ahead of previous administrations. Best and brightest ready to #MakeAmericaGreatAgain",1873,5,5,-70.8226541,43.9653889
"60","AmericanFinAsso","RT @Reince: Strong, qualified cabinet coming together ahead of previous administrations. Best and brightest ready to #MakeAmericaGreatAgain",1873,5,5,-88.0834059,42.0333607
"61","amerycarlson","RT @JasonMillerinDC: Transition Update: No announcements on Secretary of State until next week at the earliest. #MakeAmericaGreatAgain",611,0,0,-122.2566367,38.1040864
